# These sectors are used for sharing between consumption of domestically produced crops versus imports
region,supplysector,output.unit,input.unit,price.unit,logit.year.fillout,logit.exponent,logit.type
Africa_Eastern,regional dairy,Mt,Mt,1975$/kg,1975,-3.7,NA
Africa_Northern,regional dairy,Mt,Mt,1975$/kg,1975,-3.7,NA
Africa_Southern,regional dairy,Mt,Mt,1975$/kg,1975,-3.7,NA
Africa_Western,regional dairy,Mt,Mt,1975$/kg,1975,-3.7,NA
Australia_NZ,regional dairy,Mt,Mt,1975$/kg,1975,-3.7,NA
Brazil,regional dairy,Mt,Mt,1975$/kg,1975,-3.7,NA
Canada,regional dairy,Mt,Mt,1975$/kg,1975,-3.7,NA
Central America and Caribbean,regional dairy,Mt,Mt,1975$/kg,1975,-3.7,NA
Central Asia,regional dairy,Mt,Mt,1975$/kg,1975,-3.7,NA
China,regional dairy,Mt,Mt,1975$/kg,1975,-3.7,NA
EU-12,regional dairy,Mt,Mt,1975$/kg,1975,-3.7,NA
EU-15,regional dairy,Mt,Mt,1975$/kg,1975,-3.7,NA
Europe_Eastern,regional dairy,Mt,Mt,1975$/kg,1975,-3.7,NA
